Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Banks,44014.0,275087.5,2019-06-14,Product_1,50 - 100 Million,Category 1,India,Bareilly,monika,Chief Executive Officer,"Psychologist, forensic",Marketing Event,Level 2,More than a week back,"Robinson,John C",No,3
Financial Services,225820.0,1501703.0,2021-01-12,Product_2,500 Million - 1 Billion,Category 1,India,Puri,jaya parbha @ pooja,Chairman/CEO/President,Financial trader,Others,Level 3,5 days back,"Mabrey,Kevin C",Cannot deliver,3
Banks,234283.0,1382269.7,2019-07-06,Product_2,500 Million - 1 Billion,Category 3,USA,"Fairbanks, AK",Christopher Hanson,Chairman/Chief Innovation Officer,"Development worker, community",Others,Level 1,No track,"Shelton,Sidney P",Yes,3
Food Processing,124041.0,793862.4,2019-03-02,Product_2,100 - 500 Million,Category 4,India,Kakinada,neelam,Executive Vice President,Photographer,Others,Level 2,?,"Jones,Michael L",No,5
Other Investment Firms,148366.0,1008888.8,2019-02-13,Product_2,50 - 100 Million,Category 1,USA,"East Stroudsburg, PA",Jeffrey Riddle,Chairman/CEO/President,Corporate treasurer,Marketing Event,Level 3,Unknown,"Kiepea,Prince A",No,2
Materials/Manufacturing,351173.0,2229948.55,2019-10-06,Product_1,500 Million - 1 Billion,Category 2,USA,"Atlanta-Sandy Springs-Roswell, GA",Sarah Chang,CEO/Co-Founder/Chairman,"Psychologist, clinical",Contact Email,Level 3,Up-to-date,"Moran,Natalie A",Not enough,2
Real Estate,200957.0,1175598.45,2020-02-29,Product_1,50 - 100 Million,Category 4,USA,"Charleston-North Charleston, SC",Dr. James Morris,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Therapist, drama",Others,Level 1,Did not hear back after Level 1,"Dunaway,Antoine",We have all the requirements,1
Non-Profit,496704.0,3452092.8,2019-10-29,Product_1,100 - 500 Million,Category 4,USA,"Pensacola-Ferry Pass-Brent, FL",Kristin Leblanc,Executive Vice President,Public relations officer,Marketing Event,Level 3,5 days back,"Cash,Tyrone J",We have all the requirements,2
Banks,394560.0,2584368.0,2020-10-25,Product_1,100 - 500 Million,Category 4,USA,"Homosassa Springs, FL",Ian Montoya,SVP/General Counsel ,Quarry manager,Website,Level 2,Did not hear back after Level 1,"Murray,Younetta",Yes,2
Banks,347438.0,2293090.8,2020-06-29,Product_2,50 - 100 Million,Category 1,USA,"Fayetteville, NC",Leah Mendez,CEO,"Research officer, government",Contact Email,Level 3,Up-to-date,"Houston,Arnold E",No,1
Other Biz Services,163512.0,948369.6,2019-11-17,Product_1,100 - 500 Million,Category 4,India,Bamanpuri,mamta,CEO/Chairman/President,Horticultural consultant,Others,Level 1,No track,"Salyers,Daniel L",Deliverable,1
Architecture/Engineering,193040.0,1216152.0,2020-12-20,Product_1,50 - 100 Million,Category 2,India,Agartala,somwati,CEO/Chairman/President,Risk manager,Contact Email,Level 3,Up-to-date,"Hanyok,John J",No,5
Natural Gas,245016.0,1372089.6,2020-04-29,Product_1,50 - 100 Million,Category 3,India,Chennai,khushi,CEO/Chairman/President,"Scientist, clinical (histocompatibility and immunogenetics)",Website,Level 1,?,"Shelton,Sidney P",Not enough,1
Banks,221845.0,1430900.25,2019-05-22,Product_2,100 - 500 Million,Category 2,India,Hubli,montu,CEO,Geoscientist,Contact Email,Level 3,More than 2 weeks,"Smith,Keenan H",Deliverable,5
Hotels/Motels,260223.0,1510819.7223691733,2020-06-09,Product_2,100 - 500 Million,Category 4,USA,"Boston-Cambridge-Newton, MA-NH",Jose Roman,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Television camera operator,Website,Level 2,More than a week back,"Knox,Antonio D",No,4
Financial Services,463932.0,2690805.6,2020-11-26,Product_1,100 - 500 Million,Category 4,India,Latur,yasmin,Chairman/CEO/President,Intelligence analyst,Others,Level 1,Unknown,"Cashin,Marc C",Not enough,1
Banks,30969.0,190459.35,2020-06-01,Product_2,500 Million - 1 Billion,Category 2,India,Brahmapur,jyoti jatav,CEO/President,Adult guidance worker,Others,Level 3,More than 2 weeks,"Logan,Kevin N",Deliverable,5
Banks,1919.0,10746.4,2020-10-16,Product_2,100 - 500 Million,Category 1,India,Hubli,sikha,Chairman/Chief Innovation Officer,"Scientist, forensic",Others,Level 1,Up-to-date,"Cashin,Marc C",Not enough,1
Financial Services,341342.0,2423528.2,2020-01-12,Product_2,100 - 500 Million,Category 4,USA,"Lake Havasu City-Kingman, AZ",Michael Harris,Executive Vice President,"Engineer, petroleum",Website,Level 3,Did not hear back after Level 1,"Salyers,Daniel L",We have all the requirements,4
Banks,239035.0,1458113.5,2020-01-10,Product_2,500 Million - 1 Billion,Category 3,USA,"Birmingham-Hoover, AL",Laura Vaughan,Chairman/CEO/President,"Solicitor, Scotland",Others,Level 1,?,"Turner,Marlon D",Deliverable,5
Software,134809.0,768411.3,2020-02-16,Product_1,100 - 500 Million,Category 2,India,Bijapur,bhawna sejwani,Executive Vice President,Research scientist (physical sciences),Marketing Event,Level 1,More than a week back,"Green,Ann E",Deliverable,1
Software,40571.0,247483.1,2019-08-04,Product_2,500 Million - 1 Billion,Category 4,India,Chandigarh ,reena,Chairman/CEO/President,Network engineer,Marketing Event,Level 1,Up-to-date,"Shelton,Sidney P",Cannot deliver,1
Apparel Products,148609.0,973388.95,2019-07-27,Product_2,100 - 500 Million,Category 4,USA,"Brunswick, GA",Bradley Mendez,Executive Vice President,"Engineer, energy",Website,Level 2,Did not hear back after Level 1,"Green,Candy",We have all the requirements,2
Banks,128759.0,753240.15,2019-09-22,Product_2,50 - 100 Million,Category 3,India,DehraDun,khushbu,CEO/Chairman/President,Phytotherapist,Contact Email,Level 1,Following up but lead not responding,"Salyers,Daniel L",Not enough,5
Banks,389382.0,2260699.496722248,2020-01-24,Product_1,500 Million - 1 Billion,Category 4,USA,"St. Cloud, MN",Jean Taylor,Chairman/Chief Innovation Officer,Warehouse manager,Website,Level 2,More than 2 weeks,"Hebron,Artenia D",Not enough,3
Online Banking,464446.0,2995676.7,2019-10-22,Product_1,50 - 100 Million,Category 4,India,Puducherry,sangeeta @  pooja,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Publishing rights manager,Contact Email,Level 2,Following up but lead not responding,"Featherstone,Adrian R",No,5
Banks,132526.0,801782.3,2020-04-29,Product_1,50 - 100 Million,Category 3,India,Dindigul,gulfsa,Chairman/Chief Innovation Officer,Archivist,Marketing Event,Level 2,Up-to-date,"Jones,Eyvette W",Not enough,4
Conglomerates,190679.0,1220345.6,2020-10-20,Product_1,100 - 500 Million,Category 4,India,Bhuj,rita,CEO/President,"Designer, fashion/clothing",Contact Email,Level 2,More than 2 weeks,"Logan,Kevin N",We have all the requirements,4
Property/Casualty,115171.0,685267.45,2019-01-17,Product_2,100 - 500 Million,Category 3,India,Daman,girija rani,Chairman/CEO/President,"Engineer, maintenance",Others,Level 3,Unknown,"Knox,Antonio D",Yes,1
Food Processing,95588.0,630880.8,2020-10-30,Product_1,50 - 100 Million,Category 1,India,Puri,saroj devi,Chief Executive Officer,Podiatrist,Others,Level 3,5 days back,"Dimattia,Frank D",Yes,5
Architecture/Engineering,220211.0,1497434.8,2019-04-03,Product_1,50 - 100 Million,Category 1,USA,"Macon, GA",Barry Barber,Executive Vice President,"Surveyor, mining",Contact Email,Level 3,More than 2 weeks,"Hanyok,John J",No,3
Other Investment Firms,101915.0,545245.25,2021-01-19,Product_2,50 - 100 Million,Category 2,India,Raipur,lali urf kismat,SVP/General Counsel ,"Administrator, sports",Others,Level 1,No track,"Booker,David L",Deliverable,3
Healthcare Facilities/Services,105557.0,749454.7,2020-06-03,Product_2,100 - 500 Million,Category 4,USA,"Hilton Head Island-Bluffton-Beaufort, SC",Jacob Nguyen,Chairman/Chief Innovation Officer,Osteopath,Website,Level 3,Did not hear back after Level 1,"Himes,Maurice C",Cannot deliver,3
Materials/Manufacturing,39302.0,208300.6,2021-02-04,Product_2,100 - 500 Million,Category 2,India,Nasik,sandhya mishara,Chairman/CEO/President,Community education officer,Others,Level 1,2 days back,"Ryker,David",Not enough,3
Banks,40708.0,240177.2,2019-11-04,Product_2,500 Million - 1 Billion,Category 4,USA,"Crestview-Fort Walton Beach-Destin, FL",Judy Wilson,CEO/Co-Founder/Chairman,"Scientist, research (physical sciences)",Others,Level 1,More than 2 weeks,"Irizarry,Yolanda",Not enough,2
Banks,304733.0,1935054.55,2019-11-03,Product_2,50 - 100 Million,Category 2,USA,"Gadsden, AL",Hannah Brooks,CEO/Chairman/President,"Therapist, nutritional",Marketing Event,Level 2,Unknown,"Featherstone,Adrian R",We have all the requirements,5
Insurance,292685.0,1639036.0,2019-11-27,Product_2,500 Million - 1 Billion,Category 2,USA,"Grants Pass, OR",Donna White DDS,Chief Executive Officer,Building services engineer,Others,Level 1,Following up but lead not responding,"Maine,John P",Deliverable,1
Warehousing/Logistics,340129.0,1972748.2,2019-07-09,Product_2,50 - 100 Million,Category 3,India,Sonipat,rani,SVP/General Counsel ,Furniture designer,Website,Level 2,Unknown,"Van Arter,Derrick",We have all the requirements,2
Non-Profit,395121.0,2331213.9,2020-08-27,Product_1,500 Million - 1 Billion,Category 3,USA,"Enid, OK",Sandra Hatfield,CEO/Chairman/President,Illustrator,Others,Level 1,Did not hear back after Level 1,"Shelton,Sidney P",Yes,4
Chemical Manufacturing,121943.0,743852.3,2020-01-09,Product_2,100 - 500 Million,Category 2,India,Faridabad,ranjana singh,CEO/Co-Founder/Chairman,"Research officer, trade union",Marketing Event,Level 2,Did not hear back after Level 1,"Irizarry,Yolanda",Deliverable,3
Banks,388990.0,2450637.0,2020-01-20,Product_1,500 Million - 1 Billion,Category 1,USA,* Advance statistics,Candice Burns,Chairman/Chief Innovation Officer,Theatre stage manager,Others,Level 2,?,"Pappas,Mark S",Deliverable,2
Venture Capital,267931.0,1754948.05,2019-12-28,Product_1,50 - 100 Million,Category 3,India,Imphal,kusum,CEO/Chairman/President,Tax inspector,Website,Level 3,2 days back,"Georgakopoulos,Vasilios T",Cannot deliver,5
Insurance,461633.0,2839042.95,2020-11-28,Product_1,100 - 500 Million,Category 3,USA,"Sioux City, IA-NE-SD",Antonio Howell,SVP/General Counsel ,"Sound technician, broadcasting/film/video",Others,Level 3,Pending,"Knox,Antonio D",Cannot deliver,1
Banks,205018.0,1190311.85,2019-03-16,Product_1,100 - 500 Million,Category 1,USA,"Jacksonville, NC",Wendy Valdez,Chairman/CEO/President,Restaurant manager,Others,Level 3,Unknown,"Massiah,Gerard F",Not enough,1
Banks,416077.0,2538069.7,2020-08-14,Product_1,500 Million - 1 Billion,Category 1,USA,"Pittsburgh, PA",Jennifer Mitchell,Executive Vice President,Educational psychologist,Others,Level 1,Up-to-date,"Tondeur,Keith D",Not enough,2
Apparel Products,444270.0,2665620.0,2020-01-29,Product_1,500 Million - 1 Billion,Category 2,India,Bhubaneshwar,pooja rani and munna goswami,CEO/President,Geochemist,Marketing Event,Level 1,5 days back,"Irizarry,Yolanda",We have all the requirements,3
Banks,167427.0,954333.9,2019-12-29,Product_2,100 - 500 Million,Category 2,India,Valparai,raj kumari @ laxmi,CEO/Co-Founder/Chairman,Clinical molecular geneticist,Contact Email,Level 1,Following up but lead not responding,"Heidelberg,Andre D",Cannot deliver,3
Software Consulting,157817.0,923229.45,2020-07-06,Product_2,50 - 100 Million,Category 3,USA,"Homosassa Springs, FL",Steven Martinez,Executive Vice President,Patent attorney,Marketing Event,Level 1,Did not hear back after Level 1,"Hebron,Artenia D",We have all the requirements,1
Other Biz Services,453370.0,2632205.214491079,2019-09-16,Product_1,500 Million - 1 Billion,Category 2,USA,"Chicago-Naperville-Elgin, IL-IN-WI",Briana Diaz,SVP/General Counsel ,Legal secretary,Website,Level 3,2 days back,"Hanyok,John J",Deliverable,2
Apparel Retail,394819.0,2210986.4,2020-01-31,Product_1,500 Million - 1 Billion,Category 2,India,Faridabad,nicharon mosami,Chairman/CEO/President,Ship broker,Contact Email,Level 1,No track,"Sutton,Michelle R",Not enough,1
Other Investment Firms,446463.0,3035948.4,2020-03-30,Product_2,100 - 500 Million,Category 4,USA,"Morristown, TN",Anthony Macdonald,CEO,"Psychologist, sport and exercise",Marketing Event,Level 2,Did not hear back after Level 1,"Sutton,Michelle R",We have all the requirements,3
Hotels/Motels,156499.0,1001593.6,2020-09-02,Product_1,100 - 500 Million,Category 1,USA,"Sebring, FL",Pamela Sanchez,Executive Vice President,Fashion designer,Contact Email,Level 2,Unknown,"Houston,Arnold E",No,2
Banks,168490.0,977242.0,2020-07-02,Product_2,100 - 500 Million,Category 3,India,Ahmadnagar,manju bai,CEO/President,Senior tax professional/tax inspector,Contact Email,Level 2,More than a week back,"Irizarry,Yolanda",Yes,2
Banks,206017.0,1339110.5,2019-05-06,Product_2,500 Million - 1 Billion,Category 1,USA,"Waterloo-Cedar Falls, IA",Tricia Hobbs,CEO/President,Theatre stage manager,Others,Level 2,Pending,"Ryker,David",Not enough,4
Banks,342748.0,2210724.6,2020-02-04,Product_1,50 - 100 Million,Category 4,USA,"Cheyenne, WY",Wendy Jackson,Executive Vice President,Hospital doctor,Marketing Event,Level 1,More than 2 weeks,"Jones,Michael L",Deliverable,3
Airlines/Air Couriers,459692.0,2666213.6,2020-05-05,Product_2,500 Million - 1 Billion,Category 2,USA,"Winchester, VA-WV",Kenneth Bartlett,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Pension scheme manager,Others,Level 1,Unknown,"Davis,Sharrice A",No,3
Banks,466794.0,2987481.6,2019-08-30,Product_2,100 - 500 Million,Category 2,India,Hindupur,sangeeta kumari,Executive Vice President,Museum/gallery exhibitions officer,Website,Level 3,Did not hear back after Level 1,"Sutton,Michelle R",Cannot deliver,4
Aerospace/Defense,98010.0,656667.0,2019-03-19,Product_1,100 - 500 Million,Category 4,India,Kavaratti,anisha,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Bonds trader,Website,Level 3,2 days back,"Green,Candy",We have all the requirements,2
Hospitals/Clinics,439941.0,2554238.247498555,2020-08-15,Product_1,500 Million - 1 Billion,Category 2,India,Kolar,karishma,CEO,Ranger/warden,Others,Level 2,5 days back,"Carter Sr,Clifton E",Yes,5
Investment Bank/Brokerage,329943.0,2111635.2,2019-04-09,Product_1,100 - 500 Million,Category 3,USA,"Homosassa Springs, FL",Jennifer Blackburn,CEO/Chairman/President,Audiological scientist,Marketing Event,Level 2,No track,"Brown,Maxine A",Not enough,3
BioTech/Drugs,161655.0,1083088.5,2020-01-31,Product_2,500 Million - 1 Billion,Category 3,USA,"Fargo, ND-MN",Jonathan Crawford,CEO,Architectural technologist,Marketing Event,Level 2,Unknown,"Maine,John P",Yes,5
Healthcare Facilities/Services,192495.0,1164594.75,2020-12-18,Product_2,50 - 100 Million,Category 3,India,Jamshedpur,anita,CEO/Co-Founder/Chairman,Public librarian,Contact Email,Level 2,more than a month,"Booker,David L",Deliverable,5
Architecture/Engineering,78117.0,570254.1,2020-01-09,Product_2,100 - 500 Million,Category 1,USA,"Eau Claire, WI",Pamela Parks,CEO/Co-Founder/Chairman,Chief Operating Officer,Website,Level 3,Unknown,"Ali,Mohamed",Deliverable,5
Furniture/Fixtures,82845.0,480986.9223691763,2019-12-04,Product_1,500 Million - 1 Billion,Category 2,India,Machilipatnam,parbha devi,CEO/President,Financial adviser,Others,Level 3,more than a month,"Davis,Brian R",No,5
MSPs (Mgmt),408181.0,2612358.4,2020-02-03,Product_2,100 - 500 Million,Category 1,USA,"Monroe, MI",Holly Combs,CEO,"Education officer, environmental",Contact Email,Level 1,Up-to-date,"Robinson,John C",Deliverable,3
Other Consulting,251384.0,1495734.8,2020-02-12,Product_1,100 - 500 Million,Category 3,India,Bhagalpur,basanti devi,Chairman/CEO/President,Amenity horticulturist,Others,Level 3,More than 2 weeks,"Knox,Antonio D",Not enough,1
Insurance,153153.0,889185.7097182263,2019-12-15,Product_1,50 - 100 Million,Category 3,India,Gulbarga,rajni,CEO/President,Chief Marketing Officer,Marketing Event,Level 3,More than a week back,"Hameier,Kurt E",We have all the requirements,1
Education/Training,26897.0,153312.9,2019-03-26,Product_2,100 - 500 Million,Category 2,USA,"Bay City, MI",John Henderson,Executive Vice President,Careers information officer,Others,Level 2,5 days back,"Jones,Michael L",Deliverable,4
Property/Casualty,390036.0,2264496.5327199474,2019-01-29,Product_2,100 - 500 Million,Category 4,India,Cuttack,jyoti,Chairman/CEO/President,Metallurgist,Others,Level 3,Did not hear back after Level 1,"Himes,Maurice C",Yes,3
Conglomerates,479612.0,2877672.0,2020-11-10,Product_1,100 - 500 Million,Category 1,India,Guntur,सुश्री आशा कुमारी,Executive Vice President,"Civil engineer, contracting",Contact Email,Level 1,?,"Pappas,Mark S",Deliverable,2
Banks,27238.0,155256.6,2019-11-30,Product_1,500 Million - 1 Billion,Category 3,USA,"Indianapolis-Carmel-Anderson, IN",Dwayne Newman,Chairman/Chief Innovation Officer,Lobbyist,Others,Level 2,more than a month,"Tondeur,Keith D",Cannot deliver,2
Banks,374285.0,2283138.5,2019-04-16,Product_1,500 Million - 1 Billion,Category 3,USA,"Pittsfield, MA",Sally Black,Executive Vice President,"Civil engineer, contracting",Contact Email,Level 1,No track,"Dunaway,Antoine",Cannot deliver,3
Materials/Manufacturing,404824.0,2307496.8,2020-10-06,Product_2,100 - 500 Million,Category 2,India,Baramula,rakhi,CEO/Chairman/President,"Engineer, production",Contact Email,Level 1,Pending,"Featherstone,Adrian R",We have all the requirements,3
Technology Consulting,147084.0,956046.0,2020-03-16,Product_1,500 Million - 1 Billion,Category 4,India,Shahbazpur,vipin varma,Executive Vice President,"Scientist, clinical (histocompatibility and immunogenetics)",Marketing Event,Level 2,Following up but lead not responding,"Hameier,Kurt E",Deliverable,1
Technology Consulting,416107.0,2912749.0,2019-12-27,Product_2,500 Million - 1 Billion,Category 4,India,Gulbarga,renu,CEO/Chairman/President,Broadcast presenter,Website,Level 3,?,"Young,Valerie K",Deliverable,3
Hospitals/Clinics,75323.0,437315.20253018854,2020-11-16,Product_1,50 - 100 Million,Category 3,USA,"Augusta-Richmond County, GA-SC",Alexander Hernandez,Chairman/CEO/President,Tax inspector,Website,Level 3,Unknown,"Green,Candy",Not enough,3
Sales/Marketing Services,359147.0,2101009.95,2020-09-08,Product_2,50 - 100 Million,Category 4,India,Madurai,monika,CEO,Homeopath,Others,Level 1,5 days back,"Moran,Natalie A",No,3
Hospitals/Clinics,451836.0,2417322.6,2019-05-16,Product_1,50 - 100 Million,Category 2,India,Tezpur,tamanna,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Development worker, community",Others,Level 1,More than 2 weeks,"Hameier,Kurt E",No,3
